genre;profession;age;implication climatique;satisfaction implication climatique;vote vert ;trop nombreux sur terre;taxe carbonne;degré responsabilité ;resolution par progres scientifique;urgence climatique;discours pousse implication;penaliser groupes polluants;manifester;crise ecologique en vue;exageration question climat;renoncer viande;renoncer avion;renoncer enfant;renoncer voiture;consommer local;;;
Homme;Ingénierie;50+;6;Oui;Non;Oui;Oui;5;Oui;Oui;Non;Oui;Non;Oui;Non;5;1;1;1;5;;;
Femme;On;50+;4;Non;Non;Oui;Oui;5;Oui;Oui;Oui;Oui;Non;Non;Non;3;3;1;1;5;;;
Homme;Ingénierie;26-35;7;Oui;Non;Non;Oui;5;Oui;Oui;Non;Oui;Non;Oui;Non;1;1;1;1;1;;;
Femme;Pharmacie ;18-25;6;Non;Non;Oui;Oui;;Non;Oui;Oui;Oui;Oui;Oui;Non;6;4;1;5;6;;;
Homme;Ingénierie;18-25;6;Oui;Oui;Non;Oui;8;Non;Oui;Oui;Oui;Oui;Oui;Non;4;7;2;7;7;;;
Homme;Ingénierie;18-25;3;Non;Non;Oui;Non;6;Non;Oui;Non;Oui;Non;Oui;Oui;3;2;1;1;4;;;
Homme;Ingénierie;18-25;7;Non;Oui;Oui;Oui;8;Non;Oui;Oui;Oui;Oui;Oui;Non;10;4;10;8;10;;;
Femme;Ingénierie;18-25;8;Oui;Oui;Oui;Oui;8;Non;Oui;Oui;Oui;Oui;Oui;Non;8;;1;7;8;;;
Homme;Ingénierie;18-25;8;Non;Oui;Oui;Oui;8;Non;Oui;Oui;Oui;Non;Oui;Non;3;7;3;10;10;;;
Homme;Ingénierie;26-35;9;Oui;Oui;Non;Oui;10;Non;Oui;Oui;Oui;Oui;Oui;Non;6;9;1;8;9;;;
Homme;Pharmacologue;18-25;7;Oui;Non;Oui;Oui;8;Non;Oui;Non;Oui;Oui;Oui;Non;10;5;5;4;10;;;
Homme;Ingénierie;18-25;6;Non;Non;Non;Oui;6;Oui;Oui;Oui;Non;Oui;Oui;Non;8;5;1;3;7;;;
Femme;Lettres;18-25;5;Non;Oui;Oui;Oui;7;Non;Oui;Oui;Oui;Oui;Oui;Non;10;7;3;9;10;;;
Homme;Ingénierie;18-25;7;Oui;Non;Oui;Non;;Oui;Oui;Non;Non;Non;Oui;Non;1;5;1;10;10;;;
Femme;Architecture;18-25;6;Non;Oui;Oui;Oui;8;Non;Oui;Oui;Oui;Oui;Oui;Oui;10;10;1;8;6;;;
Homme;Architecture;18-25;4;Non;Non;Non;Non;6;;Oui;Non;Oui;Non;Oui;Non;1;1;1;10;10;;;
Je ne souhaite pas le préciser;Architecture;18-25;10;Non;Oui;Non;Oui;8;Non;Oui;Oui;Oui;Oui;Oui;Non;10;10;9;8;10;;;
Homme;Ingénierie;18-25;7;Non;Oui;Non;Oui;8;Oui;Oui;Oui;Oui;Oui;Oui;Non;7;3;1;9;9;;;
Homme;Liberal Arts (Literature, Film and TV, Politics);18-25;7;Oui;Oui;Oui;Oui;9;Oui;Oui;Oui;Oui;Oui;Oui;Non;8;8;2;10;9;;;
Homme;Architecture;18-25;5;Non;Oui;;Oui;8;Non;Oui;;Oui;Oui;Oui;Non;8;5;2;8;7;;;
Homme;Ingénierie;18-25;7;Non;Non;Oui;Oui;7;Oui;Oui;Oui;Oui;Oui;Oui;Non;2;7;1;3;7;;;
Homme;Marketing & Management;26-35;5;Non;Non;Oui;Oui;10;Oui;Oui;Non;Oui;Non;Oui;Non;10;8;5;10;10;;;
Homme;Ingénierie;26-35;8;Non;Oui;Non;Oui;9;Oui;Oui;Oui;Oui;Oui;Oui;Non;7;6;2;10;7;;;
Homme;Gestion;18-25;5;Non;Non;Non;Non;8;Non;Oui;Oui;Oui;Oui;Oui;Non;1;5;1;8;10;;;
Homme;Psychologie;36-50;4;Oui;Non;Non;Oui;5;Oui;Non;Oui;Oui;Non;Non;Oui;8;1;1;1;8;;;
Femme;Ingénierie;18-25;6;Non;Non;Oui;Oui;10;Oui;Oui;Oui;Oui;Non;Oui;Non;10;4;1;10;10;;;
Femme;Ingénierie;18-25;6;Non;Non;Oui;Oui;6;Oui;Oui;Oui;Oui;Oui;Oui;Non;7;8;3;6;8;;;
Homme;Commerce;18-25;6;Non;Non;Non;Oui;10;Oui;Oui;Non;Oui;Non;Oui;Non;8;6;1;5;8;;;
Homme;Pharmacie;18-25;7;Non;Non;Oui;Oui;8;Non;Oui;Oui;Oui;Oui;Oui;Non;1;7;3;3;8;;;
Homme;Ingénierie;18-25;5;Oui;Non;Non;Oui;9;Non;Oui;Non;Oui;Non;Oui;Non;3;3;5;7;9;;;
Homme;Ingénierie;18-25;5;Oui;Non;Non;Oui;10;Non;Oui;Non;Oui;Oui;Oui;Non;9;5;1;8;7;;;
Homme;Ingénierie;18-25;7;Non;Non;Non;Oui;3;Non;Oui;Oui;Oui;Non;Oui;Non;6;8;1;9;8;;;
Femme;Audiovisuel;18-25;8;Non;Non;Oui;Oui;9;Non;Oui;Oui;Oui;Oui;Oui;Non;8;5;4;8;9;;;
Femme;Ingénierie;18-25;6;Oui;Non;Oui;Oui;5;Oui;Oui;Non;Non;Non;Oui;Non;8;7;1;6;8;;;
Homme;Médecine;18-25;5;Non;Oui;Non;Non;9;Non;Oui;Oui;Oui;Oui;Non;Non;8;7;1;6;8;;;
