genre;profession;age;implication climatique;satisfaction implication climatique;vote vert ;trop nombreux sur terre;taxe carbonne;degré responsabilité ;resolution par progres scientifique;urgence climatique;discours pousse implication;penaliser groupes polluants;manifester;crise ecologique en vue;exageration question climat;renoncer viande;renoncer avion;renoncer enfant;renoncer voiture;consommer local;
Femme;Ingénierie;18-25;10;Oui;Oui;Non;Oui;5;Non;Oui;Oui;Oui;Oui;Oui;Non;8;10;1;10;10;
Homme;Ingénierie;18-25;6;Oui;Non;Oui;Non;7;Oui;Oui;Oui;Oui;Non;Non;Non;2;3;1;1;9;
Femme;Pharmacie;18-25;7;Non;Oui;Oui;Non;5;Non;Oui;Oui;Oui;Oui;Oui;Non;4;5;1;6;10;
Homme;Ingénierie;18-25;7;Oui;Oui;Non;Oui;10;Non;Oui;Non;Oui;Non;Non;Non;1;4;1;8;10;
Femme;Ingénierie;18-25;6;Non;Non;Oui;Oui;6;Oui;Oui;Non;Oui;Non;Oui;Non;1;1;1;3;1;
Homme;Ingénierie;18-25;8;Non;Non;Oui;Oui;7;Oui;Oui;Oui;Oui;Oui;Oui;Non;3;2;1;8;9;
Homme;Ingénierie;18-25;1;Oui;Oui;Non;Oui;8;Oui;Oui;Oui;Non;Non;Non;Non;1;1;1;1;4;
Homme;Ingénierie;18-25;7;Non;Oui;Oui;Oui;8;Oui;Oui;Oui;Oui;Oui;Oui;Non;4;1;1;5;8;
Femme;Ingénierie;18-25;6;Non;Non;Oui;Oui;9;Oui;Oui;Oui;Oui;Oui;Oui;Non;10;8;4;9;9;
Homme;Ingénierie;18-25;6;Oui;Non;Non;Oui;5;Oui;Oui;Non;Oui;Non;Oui;Non;2;3;2;;3;
Homme;Ingénierie;18-25;8;Oui;Oui;Non;Oui;10;Non;Oui;Non;Oui;Oui;Oui;Non;6;9;1;9;9;
Homme;Ingénierie;18-25;7;Non;Non;Non;Oui;10;Oui;Oui;Non;Oui;Non;Oui;Non;10;4;2;4;9;
Homme;Chimie;18-25;7;Oui;Non;Non;Oui;6;Oui;Oui;Non;Oui;Non;Oui;Non;3;1;1;3;5;
Homme;Ingénierie;18-25;6;Non;Oui;Oui;Oui;10;Oui;Oui;Oui;Non;Oui;Oui;Non;1;1;1;7;8;
Homme;Architecture;18-25;9;Oui;Oui;Oui;Oui;8;Non;Oui;Oui;Oui;Oui;Oui;Non;9;9;1;10;9;
Femme;Ingénierie;18-25;6;Non;Non;Oui;Non;8;Oui;Oui;Oui;Oui;Oui;Oui;Non;9;2;10;8;8;
Femme;Ingénierie;18-25;9;Non;Non;Oui;Oui;8;Non;Oui;Oui;Oui;Oui;Oui;Non;10;9;9;10;10;
Homme;Architecture;18-25;6;Oui;;Non;Oui;5;Oui;Oui;;;Non;Oui;Non;1;6;;4;10;
Homme;Ingénierie;18-25;7;Oui;Oui;Non;Oui;10;Non;Oui;Non;Oui;Non;Non;Non;1;4;1;8;10;
Femme;Ingénierie;18-25;3;Non;;Non;Oui;5;Oui;Non;Non;Oui;Non;Oui;Oui;5;1;1;6;5;
Homme;Étudiant ;18-25;6;Non;Non;Oui;Oui;8;Non;Oui;Oui;Oui;Oui;Oui;Non;7;5;4;8;8;
Homme;Ingénierie;18-25;7;Non;Non;Non;Oui;9;Oui;Oui;Oui;Oui;Non;Oui;Non;6;3;1;3;9;
Homme;Commerce;18-25;6;Non;Oui;Oui;Oui;9;Oui;Oui;Oui;Oui;Oui;Oui;Non;8;4;3;7;10;
Homme;Ingénierie;50+;9;Non;Non;Non;Oui;5;Oui;Oui;Non;Oui;Non;Non;Non;6;3;1;5;9;
Femme;Commerce;18-25;7;Non;Non;Oui;Oui;5;Non;Oui;Non;Non;Oui;Oui;Non;7;4;4;10;10;
Homme;Ingénierie;26-35;8;Non;Non;Oui;Oui;5;Non;Oui;Non;Oui;Oui;Oui;Non;5;5;5;5;5;
Homme;Ingénierie;18-25;7;Non;Non;Non;Non;8;Oui;Oui;Oui;Oui;Oui;Oui;Non;6;5;1;3;9;
Femme;Ingénierie;18-25;7;Oui;Oui;Non;Oui;8;Oui;Oui;Non;Oui;Non;Non;Non;2;9;1;6;8;
Femme;Lycéenne;18-25;8;Oui;;Oui;Oui;5;Non;Oui;Oui;Oui;Non;Oui;Non;6;4;1;5;9;
